"destinationId";"destinationKey";"destAirportSeqId";"airportCode";"cityName";"stateCode";"stateName";"worldAreaCode"
"1";"10257";"1025702";"ALB";"Albany, NY";"NY";"New York";"22"
"2";"15249";"1524906";"TLH";"Tallahassee, FL";"FL";"Florida";"33"
"3";"11057";"1105703";"CLT";"Charlotte, NC";"NC";"North Carolina";"36"
"4";"10599";"1059904";"BHM";"Birmingham, AL";"AL";"Alabama";"51"
"5";"11996";"1199603";"GSP";"Greer, SC";"SC";"South Carolina";"37"
"6";"14122";"1412202";"PIT";"Pittsburgh, PA";"PA";"Pennsylvania";"23"
"7";"13485";"1348502";"MSN";"Madison, WI";"WI";"Wisconsin";"45"
"8";"14193";"1419306";"PNS";"Pensacola, FL";"FL";"Florida";"33"
"9";"11278";"1127805";"DCA";"Washington, DC";"VA";"Virginia";"38"
"10";"12339";"1233904";"IND";"Indianapolis, IN";"IN";"Indiana";"42"
"11";"14100";"1410005";"PHL";"Philadelphia, PA";"PA";"Pennsylvania";"23"
"12";"10397";"1039707";"ATL";"Atlanta, GA";"GA";"Georgia";"34"
"13";"11721";"1172105";"FNT";"Flint, MI";"MI";"Michigan";"43"
"14";"13198";"1319801";"MCI";"Kansas City, MO";"MO";"Missouri";"64"
"15";"13296";"1329604";"MHT";"Manchester, NH";"NH";"New Hampshire";"14"
"16";"14307";"1430705";"PVD";"Providence, RI";"RI";"Rhode Island";"15"
"17";"11423";"1142307";"DSM";"Des Moines, IA";"IA";"Iowa";"61"
"18";"14576";"1457606";"ROC";"Rochester, NY";"NY";"New York";"22"
"19";"10994";"1099402";"CHS";"Charleston, SC";"SC";"South Carolina";"37"
"20";"11995";"1199502";"GSO";"Greensboro/High Point, NC";"NC";"North Carolina";"36"
"21";"11481";"1148102";"ECP";"Panama City, FL";"FL";"Florida";"33"
"22";"10431";"1043105";"AVL";"Asheville, NC";"NC";"North Carolina";"36"
"23";"14730";"1473004";"SDF";"Louisville, KY";"KY";"Kentucky";"52"
"24";"10792";"1079206";"BUF";"Buffalo, NY";"NY";"New York";"22"
"25";"14321";"1432105";"PWM";"Portland, ME";"ME";"Maine";"12"
"26";"11066";"1106606";"CMH";"Columbus, OH";"OH";"Ohio";"44"
"27";"10208";"1020803";"AGS";"Augusta, GA";"GA";"Georgia";"34"
"28";"15412";"1541205";"TYS";"Knoxville, TN";"TN";"Tennessee";"54"
"29";"13360";"1336003";"MLB";"Melbourne, FL";"FL";"Florida";"33"
"30";"10693";"1069302";"BNA";"Nashville, TN";"TN";"Tennessee";"54"
"31";"13931";"1393102";"ORF";"Norfolk, VA";"VA";"Virginia";"38"
"32";"14685";"1468502";"SAV";"Savannah, GA";"GA";"Georgia";"34"
"33";"10135";"1013506";"ABE";"Allentown/Bethlehem/Easton, PA";"PA";"Pennsylvania";"23"
"34";"10874";"1087402";"CAK";"Akron, OH";"OH";"Ohio";"44"
"35";"13342";"1334207";"MKE";"Milwaukee, WI";"WI";"Wisconsin";"45"
"36";"15370";"1537002";"TUL";"Tulsa, OK";"OK";"Oklahoma";"73"
"37";"14986";"1498603";"SRQ";"Sarasota/Bradenton, FL";"FL";"Florida";"33"
"38";"10868";"1086803";"CAE";"Columbia, SC";"SC";"South Carolina";"37"
"39";"12451";"1245102";"JAX";"Jacksonville, FL";"FL";"Florida";"33"
"40";"11973";"1197302";"GPT";"Gulfport/Biloxi, MS";"MS";"Mississippi";"53"
"41";"11298";"1129806";"DFW";"Dallas/Fort Worth, TX";"TX";"Texas";"74"
"42";"11193";"1119302";"CVG";"Cincinnati, OH";"KY";"Kentucky";"52"
"43";"11042";"1104205";"CLE";"Cleveland, OH";"OH";"Ohio";"44"
"44";"15624";"1562404";"VPS";"Valparaiso, FL";"FL";"Florida";"33"
"45";"11641";"1164102";"FAY";"Fayetteville, NC";"NC";"North Carolina";"36"
"46";"12945";"1294503";"LEX";"Lexington, KY";"KY";"Kentucky";"52"
"47";"12217";"1221702";"HSV";"Huntsville, AL";"AL";"Alabama";"51"
"48";"12264";"1226402";"IAD";"Washington, DC";"VA";"Virginia";"38"
"49";"13795";"1379502";"OAJ";"Jacksonville/Camp Lejeune, NC";"NC";"North Carolina";"36"
