"originId";"originKey";"originAirportSeqId";"airportCode";"cityName";"stateCode";"stateName";"worldAreaCode"
"1";"11278";"1127805";"DCA";"Washington, DC";"VA";"Virginia";"38"
"2";"11057";"1105703";"CLT";"Charlotte, NC";"NC";"North Carolina";"36"
"3";"15412";"1541205";"TYS";"Knoxville, TN";"TN";"Tennessee";"54"
"4";"14100";"1410005";"PHL";"Philadelphia, PA";"PA";"Pennsylvania";"23"
"5";"14122";"1412202";"PIT";"Pittsburgh, PA";"PA";"Pennsylvania";"23"
"6";"14193";"1419306";"PNS";"Pensacola, FL";"FL";"Florida";"33"
"7";"11193";"1119302";"CVG";"Cincinnati, OH";"KY";"Kentucky";"52"
"8";"10397";"1039707";"ATL";"Atlanta, GA";"GA";"Georgia";"34"
"9";"11721";"1172105";"FNT";"Flint, MI";"MI";"Michigan";"43"
"10";"11066";"1106606";"CMH";"Columbus, OH";"OH";"Ohio";"44"
"11";"14321";"1432105";"PWM";"Portland, ME";"ME";"Maine";"12"
"12";"13296";"1329604";"MHT";"Manchester, NH";"NH";"New Hampshire";"14"
"13";"14307";"1430705";"PVD";"Providence, RI";"RI";"Rhode Island";"15"
"14";"10693";"1069302";"BNA";"Nashville, TN";"TN";"Tennessee";"54"
"15";"11995";"1199502";"GSO";"Greensboro/High Point, NC";"NC";"North Carolina";"36"
"16";"11481";"1148102";"ECP";"Panama City, FL";"FL";"Florida";"33"
"17";"14730";"1473004";"SDF";"Louisville, KY";"KY";"Kentucky";"52"
"18";"10792";"1079206";"BUF";"Buffalo, NY";"NY";"New York";"22"
"19";"12339";"1233904";"IND";"Indianapolis, IN";"IN";"Indiana";"42"
"20";"14524";"1452401";"RIC";"Richmond, VA";"VA";"Virginia";"38"
"21";"10208";"1020803";"AGS";"Augusta, GA";"GA";"Georgia";"34"
"22";"10994";"1099402";"CHS";"Charleston, SC";"SC";"South Carolina";"37"
"23";"13360";"1336003";"MLB";"Melbourne, FL";"FL";"Florida";"33"
"24";"10431";"1043105";"AVL";"Asheville, NC";"NC";"North Carolina";"36"
"25";"11996";"1199603";"GSP";"Greer, SC";"SC";"South Carolina";"37"
"26";"10874";"1087402";"CAK";"Akron, OH";"OH";"Ohio";"44"
"27";"13198";"1319801";"MCI";"Kansas City, MO";"MO";"Missouri";"64"
"28";"14685";"1468502";"SAV";"Savannah, GA";"GA";"Georgia";"34"
"29";"10135";"1013506";"ABE";"Allentown/Bethlehem/Easton, PA";"PA";"Pennsylvania";"23"
"30";"13342";"1334207";"MKE";"Milwaukee, WI";"WI";"Wisconsin";"45"
"31";"10529";"1052906";"BDL";"Hartford, CT";"CT";"Connecticut";"11"
"32";"12451";"1245102";"JAX";"Jacksonville, FL";"FL";"Florida";"33"
"33";"11423";"1142307";"DSM";"Des Moines, IA";"IA";"Iowa";"61"
"34";"13931";"1393102";"ORF";"Norfolk, VA";"VA";"Virginia";"38"
"35";"10980";"1098002";"CHA";"Chattanooga, TN";"TN";"Tennessee";"54"
"36";"15370";"1537002";"TUL";"Tulsa, OK";"OK";"Oklahoma";"73"
"37";"14986";"1498603";"SRQ";"Sarasota/Bradenton, FL";"FL";"Florida";"33"
"38";"13495";"1349505";"MSY";"New Orleans, LA";"LA";"Louisiana";"72"
"39";"15249";"1524906";"TLH";"Tallahassee, FL";"FL";"Florida";"33"
"40";"11973";"1197302";"GPT";"Gulfport/Biloxi, MS";"MS";"Mississippi";"53"
"41";"11042";"1104205";"CLE";"Cleveland, OH";"OH";"Ohio";"44"
"42";"15096";"1509602";"SYR";"Syracuse, NY";"NY";"New York";"22"
"43";"11267";"1126702";"DAY";"Dayton, OH";"OH";"Ohio";"44"
"44";"15624";"1562404";"VPS";"Valparaiso, FL";"FL";"Florida";"33"
"45";"11641";"1164102";"FAY";"Fayetteville, NC";"NC";"North Carolina";"36"
"46";"10599";"1059904";"BHM";"Birmingham, AL";"AL";"Alabama";"51"
"47";"11617";"1161708";"EWN";"New Bern/Morehead/Beaufort, NC";"NC";"North Carolina";"36"
"48";"14814";"1481402";"SHV";"Shreveport, LA";"LA";"Louisiana";"72"
"49";"12945";"1294503";"LEX";"Lexington, KY";"KY";"Kentucky";"52"
