"timePeriodId";"year";"quarter";"month";"dayOfMonth";"dayOfWeek";"flightDate"
"1";"2022";"2";"5";"3";"2";"2022-05-03"
"2";"2022";"2";"5";"4";"3";"2022-05-04"
"3";"2022";"2";"5";"1";"7";"2022-05-01"
"4";"2022";"2";"5";"2";"1";"2022-05-02"
"5";"2022";"2";"5";"5";"4";"2022-05-05"
"6";"2022";"2";"5";"6";"5";"2022-05-06"
"7";"2022";"2";"5";"7";"6";"2022-05-07"
"8";"2022";"2";"5";"8";"7";"2022-05-08"
"9";"2022";"2";"5";"9";"1";"2022-05-09"
"10";"2022";"2";"5";"10";"2";"2022-05-10"
"11";"2022";"2";"5";"11";"3";"2022-05-11"
"12";"2022";"2";"5";"12";"4";"2022-05-12"
"13";"2022";"2";"5";"13";"5";"2022-05-13"
"14";"2022";"2";"5";"14";"6";"2022-05-14"
"15";"2022";"2";"5";"16";"1";"2022-05-16"
"16";"2022";"2";"5";"17";"2";"2022-05-17"
"17";"2022";"2";"5";"18";"3";"2022-05-18"
"18";"2022";"2";"5";"19";"4";"2022-05-19"
"19";"2022";"2";"5";"21";"6";"2022-05-21"
"20";"2022";"2";"5";"22";"7";"2022-05-22"
"21";"2022";"2";"5";"23";"1";"2022-05-23"
"22";"2022";"2";"5";"24";"2";"2022-05-24"
"23";"2022";"2";"5";"25";"3";"2022-05-25"
"24";"2022";"2";"5";"26";"4";"2022-05-26"
"25";"2022";"2";"5";"27";"5";"2022-05-27"
"26";"2022";"2";"5";"29";"7";"2022-05-29"
"27";"2022";"2";"5";"30";"1";"2022-05-30"
"28";"2022";"2";"5";"31";"2";"2022-05-31"
"29";"2022";"2";"5";"15";"7";"2022-05-15"
"30";"2022";"2";"5";"20";"5";"2022-05-20"
"31";"2022";"2";"5";"28";"6";"2022-05-28"
"32";"2022";"2";"4";"4";"1";"2022-04-04"
"33";"2022";"2";"4";"3";"7";"2022-04-03"
"34";"2022";"2";"4";"2";"6";"2022-04-02"
"35";"2022";"2";"4";"1";"5";"2022-04-01"
"36";"2022";"2";"4";"15";"5";"2022-04-15"
"37";"2022";"2";"4";"9";"6";"2022-04-09"
"38";"2022";"2";"4";"10";"7";"2022-04-10"
"39";"2022";"2";"4";"17";"7";"2022-04-17"
"40";"2022";"2";"4";"18";"1";"2022-04-18"
"41";"2022";"2";"4";"19";"2";"2022-04-19"
"42";"2022";"2";"4";"20";"3";"2022-04-20"
"43";"2022";"2";"4";"21";"4";"2022-04-21"
"44";"2022";"2";"4";"22";"5";"2022-04-22"
"45";"2022";"2";"4";"11";"1";"2022-04-11"
"46";"2022";"2";"4";"24";"7";"2022-04-24"
"47";"2022";"2";"4";"25";"1";"2022-04-25"
"48";"2022";"2";"4";"26";"2";"2022-04-26"
"49";"2022";"2";"4";"27";"3";"2022-04-27"
